epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6195,1.6364,12.1187,0.00594,0.17337,0.17079,0.13548,0.08892,1.32393,5.29514,0.00639,0.00043342,0.00043342,0.00043342
2,49.9153,1.78018,3.60148,0.00662,0.20114,0.30698,0.22517,0.13375,1.62967,3.16502,0.0094,0.000883294,0.000883294,0.000883294
3,58.6985,1.91076,2.42671,0.00639,0.42341,0.3849,0.37366,0.21467,1.72997,2.77602,0.01046,0.0013323,0.0013323,0.0013323
4,67.5293,1.88902,2.24312,0.00693,0.44182,0.35243,0.32945,0.17897,1.86563,3.17198,0.01193,0.00166334,0.00166334,0.00166334
5,77.867,1.9773,2.12713,0.00761,0.33429,0.32792,0.24849,0.13926,2.09534,2.73663,0.01313,0.00166049,0.00166049,0.00166049
6,87.2592,2.00956,2.10607,0.00766,0.37823,0.42014,0.25801,0.11352,2.06173,2.46364,0.01381,0.00165684,0.00165684,0.00165684
7,96.296,1.94467,2.00787,0.00749,0.50339,0.47995,0.42294,0.2342,1.77865,2.05376,0.01056,0.00165238,0.00165238,0.00165238
8,105.362,1.88241,2.01964,0.00684,0.46001,0.46803,0.40505,0.23685,1.68402,2.68737,0.00991,0.00164713,0.00164713,0.00164713
9,115.966,1.89999,1.9362,0.00679,0.45406,0.46748,0.40166,0.233,1.87403,2.43563,0.01074,0.00164108,0.00164108,0.00164108
10,125.178,1.86279,1.93708,0.0066,0.46351,0.42762,0.38392,0.22354,1.70024,2.02656,0.00971,0.00163424,0.00163424,0.00163424
11,134.414,1.86453,1.90458,0.00702,0.45393,0.5246,0.47254,0.26892,1.7358,1.90121,0.00974,0.00162661,0.00162661,0.00162661
12,147.04,1.81004,1.78827,0.00628,0.44039,0.43985,0.34769,0.19857,1.78236,nan,0.01041,0.00161822,0.00161822,0.00161822
13,154.96,1.81235,1.81258,0.00639,0.54145,0.50515,0.47951,0.27643,1.69526,1.86616,0.01031,0.00160905,0.00160905,0.00160905
14,165.673,1.81428,1.73579,0.00619,0.6535,0.54198,0.55786,0.33478,1.63183,1.58056,0.00907,0.00159913,0.00159913,0.00159913
15,174.296,1.79618,1.66515,0.00606,0.66445,0.58193,0.61106,0.36277,1.62652,1.48722,0.00978,0.00158847,0.00158847,0.00158847
16,183.644,1.74188,1.67585,0.00601,0.59693,0.5095,0.531,0.33032,1.55748,1.53983,0.00874,0.00157706,0.00157706,0.00157706
17,193.156,1.74705,1.62845,0.00593,0.54197,0.5761,0.4859,0.29122,1.631,1.61986,0.00877,0.00156493,0.00156493,0.00156493
18,203.143,1.78981,1.62071,0.00636,0.50822,0.5889,0.54964,0.33223,1.56671,1.70363,0.00918,0.00155209,0.00155209,0.00155209
19,210.79,1.79442,1.67001,0.00628,0.73043,0.53802,0.61014,0.38128,1.53676,1.4862,0.0086,0.00153854,0.00153854,0.00153854
20,220.327,1.71446,1.55396,0.00604,0.6535,0.52881,0.58857,0.3525,1.61943,1.6144,0.00898,0.00152431,0.00152431,0.00152431
21,230.4,1.71176,1.53369,0.00593,0.64298,0.56941,0.60582,0.37124,1.52655,1.3769,0.00854,0.00150941,0.00150941,0.00150941
22,238.737,1.71619,1.57866,0.00594,0.6038,0.62428,0.6017,0.37317,1.56465,1.30222,0.00923,0.00149384,0.00149384,0.00149384
23,247.833,1.72551,1.55552,0.00607,0.58537,0.5114,0.53167,0.33182,1.51088,1.70374,0.00901,0.00147764,0.00147764,0.00147764
24,262.001,1.70691,1.52491,0.00583,0.65957,0.53728,0.58478,0.3626,1.48281,1.42551,0.00849,0.0014608,0.0014608,0.0014608
25,271.001,1.6749,1.53425,0.0056,0.72284,0.61155,0.63563,0.40801,1.48291,1.33894,0.0085,0.00144335,0.00144335,0.00144335
26,279.855,1.61793,1.39229,0.00553,0.5709,0.54168,0.54323,0.33929,1.54676,1.4546,0.00855,0.00142531,0.00142531,0.00142531
27,289.248,1.60859,1.45529,0.0058,0.68434,0.55183,0.5955,0.37221,1.59576,1.46614,0.00955,0.0014067,0.0014067,0.0014067
28,297.02,1.64576,1.46514,0.00587,0.61737,0.59139,0.61243,0.36928,1.5927,1.35335,0.00837,0.00138753,0.00138753,0.00138753
29,306.968,1.69234,1.50353,0.00589,0.65021,0.59693,0.63061,0.38875,1.5345,1.36264,0.00839,0.00136781,0.00136781,0.00136781
30,317.982,1.66945,1.45053,0.00536,0.64948,0.61513,0.59187,0.35848,1.5868,1.4162,0.00853,0.00134758,0.00134758,0.00134758
31,326.87,1.59706,1.33684,0.00511,0.79387,0.55122,0.63315,0.39149,1.53003,1.40897,0.00906,0.00132685,0.00132685,0.00132685
32,342.695,1.6295,1.39975,0.00582,0.6449,0.57845,0.59309,0.3663,1.53119,1.41485,0.0086,0.00130565,0.00130565,0.00130565
33,351.384,1.61732,1.46364,0.00571,0.62361,0.63376,0.64529,0.40815,1.50426,1.2414,0.00806,0.00128398,0.00128398,0.00128398
