epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6955,1.47583,22.504,0.00542,0.35721,0.19807,0.19137,0.13839,1.25374,7.67067,0.00739,0.00043342,0.00043342,0.00043342
2,48.833,1.61326,4.77208,0.0061,0.23819,0.33985,0.20341,0.11839,1.74744,3.25011,0.01069,0.000883294,0.000883294,0.000883294
3,56.6395,1.70599,2.64008,0.00577,0.45172,0.35559,0.31388,0.16799,1.69307,2.76582,0.01056,0.0013323,0.0013323,0.0013323
4,68.346,1.72539,2.31952,0.00636,0.35618,0.3947,0.29897,0.17045,1.86517,2.78801,0.01222,0.00166334,0.00166334,0.00166334
5,83.0188,1.75822,2.16271,0.00684,0.51413,0.37812,0.36985,0.19171,1.90192,2.61083,0.01221,0.00166049,0.00166049,0.00166049
6,92.9963,1.77571,2.15624,0.00689,0.28641,0.4347,0.23829,0.12111,1.85668,3.83194,0.01293,0.00165684,0.00165684,0.00165684
7,103.547,1.76051,2.01968,0.00702,0.40492,0.23668,0.22189,0.11315,1.71531,3.82868,0.01148,0.00165238,0.00165238,0.00165238
8,113.165,1.72352,2.04675,0.00648,0.44851,0.45228,0.42421,0.26903,1.65835,2.7544,0.01074,0.00164713,0.00164713,0.00164713
9,125.674,1.72201,1.91361,0.00612,0.44078,0.43059,0.38213,0.23229,1.63091,2.57372,0.00993,0.00164108,0.00164108,0.00164108
10,135.902,1.67612,1.88725,0.00621,0.63563,0.47325,0.49374,0.30844,1.58436,1.9636,0.01001,0.00163424,0.00163424,0.00163424
11,146.125,1.66658,1.82297,0.00652,0.49972,0.42246,0.40821,0.22953,1.77803,2.59253,0.0113,0.00162661,0.00162661,0.00162661
12,160.716,1.63347,1.74655,0.00583,0.59291,0.49178,0.52977,0.3137,1.65348,2.12876,0.00951,0.00161822,0.00161822,0.00161822
13,169.255,1.59111,1.77542,0.00573,0.6784,0.49426,0.56179,0.36226,1.50267,1.81388,0.00936,0.00160905,0.00160905,0.00160905
14,178.71,1.60968,1.69466,0.0057,0.58275,0.53751,0.55197,0.35139,1.54129,1.7294,0.00975,0.00159913,0.00159913,0.00159913
15,186.308,1.59252,1.61571,0.00558,0.54734,0.56641,0.53931,0.33376,1.54529,2.63309,0.00882,0.00158847,0.00158847,0.00158847
16,196.596,1.56632,1.67259,0.00564,0.70795,0.51713,0.59234,0.35848,1.62769,1.79115,0.01018,0.00157706,0.00157706,0.00157706
17,208.989,1.50972,1.55862,0.00532,0.62624,0.50548,0.54589,0.34985,1.4641,1.63152,0.00867,0.00156493,0.00156493,0.00156493
18,218.083,1.54838,1.60958,0.00554,0.64858,0.51281,0.59032,0.39466,1.49474,1.5828,0.00922,0.00155209,0.00155209,0.00155209
19,226.462,1.62087,1.63896,0.00592,0.56456,0.59404,0.57726,0.35706,1.56122,1.58484,0.00919,0.00153854,0.00153854,0.00153854
20,236.043,1.53322,1.5249,0.0057,0.69365,0.56658,0.59988,0.38328,1.44187,1.63624,0.00881,0.00152431,0.00152431,0.00152431
21,248.067,1.50219,1.49193,0.00545,0.62522,0.56977,0.60273,0.39837,1.39091,1.5444,0.00836,0.00150941,0.00150941,0.00150941
22,260.269,1.49557,1.54536,0.00527,0.57346,0.56153,0.56891,0.37178,1.53148,1.83801,0.00896,0.00149384,0.00149384,0.00149384
23,270.154,1.5199,1.53191,0.00553,0.64031,0.56385,0.59408,0.39978,1.43683,1.57039,0.00835,0.00147764,0.00147764,0.00147764
24,279.323,1.49453,1.52049,0.00525,0.55077,0.53153,0.48469,0.319,1.4218,1.76736,0.0085,0.0014608,0.0014608,0.0014608
25,292.406,1.51,1.52246,0.00526,0.60858,0.65908,0.62318,0.41015,1.41353,1.38506,0.00832,0.00144335,0.00144335,0.00144335
26,302.313,1.40513,1.31623,0.00493,0.75577,0.61426,0.67838,0.44843,1.42242,1.37177,0.00846,0.00142531,0.00142531,0.00142531
27,312.122,1.42273,1.3963,0.00525,0.70537,0.51308,0.59664,0.40667,1.38128,1.8536,0.00821,0.0014067,0.0014067,0.0014067
28,322.331,1.45185,1.46528,0.00529,0.67033,0.57593,0.62672,0.4195,1.44368,1.43741,0.0086,0.00138753,0.00138753,0.00138753
29,332.573,1.4827,1.52583,0.00543,0.71751,0.68613,0.70254,0.47047,1.35478,1.26735,0.00826,0.00136781,0.00136781,0.00136781
30,341.65,1.46216,1.40598,0.00493,0.68763,0.50475,0.56432,0.38524,1.4153,1.71364,0.00825,0.00134758,0.00134758,0.00134758
31,352.641,1.40044,1.34937,0.00466,0.73107,0.63144,0.67074,0.44621,1.38011,1.25875,0.00784,0.00132685,0.00132685,0.00132685
